ubigeo,fecha,temp_min
160101,2022-01-01,23.91727015076892
160101,2022-01-02,23.795098776434116
160101,2022-01-03,24.320947205313605
160101,2022-01-04,23.591601172486175
160101,2022-01-05,22.642915133148335
160101,2022-01-06,23.04044026210219
160101,2022-01-07,23.502657711144675
160101,2022-01-08,24.64737612758232
160101,2022-01-09,24.19043045948619
160101,2022-01-10,24.702592096341323
160101,2022-01-11,23.279008152173933
160101,2022-01-12,24.169455434525304
160101,2022-01-13,24.49323276524804
160101,2022-01-14,23.64254896241845
160101,2022-01-15,22.597534227936656
160101,2022-01-16,22.064424947504964
160101,2022-01-17,23.149931261065156
160101,2022-01-18,23.818552882178206
160101,2022-01-19,24.427780440862023
160101,2022-01-20,23.28269326030346
160101,2022-01-21,23.004731559502144
160101,2022-01-22,23.27800859091941
160101,2022-01-23,23.51404864847741
160101,2022-01-24,23.497243735975605
160101,2022-01-25,23.175512731499374
160101,2022-01-26,22.725247698998757
160101,2022-01-27,23.38514340366773
160101,2022-01-28,24.261519569527664
160101,2022-01-29,23.56731860898389
160101,2022-01-30,23.84994620221408
160101,2022-01-31,24.48360497194476
160101,2022-02-01,22.737026760417983
160101,2022-02-02,24.20158662456771
160101,2022-02-03,23.321195205869433
160101,2022-02-04,23.38505195145239
160101,2022-02-05,23.347203037829917
160101,2022-02-06,23.61296357769271
160101,2022-02-07,23.484554394306105
160101,2022-02-08,22.398092506619804
160101,2022-02-09,22.454349731927827
160101,2022-02-10,22.463555164362308
160101,2022-02-11,23.30817728758803
160101,2022-02-12,24.131876072739132
160101,2022-02-13,23.170422508028675
160101,2022-02-14,23.14347576799759
160101,2022-02-15,22.92063613107555
160101,2022-02-16,23.119190108509112
160101,2022-02-17,22.587287056461804
160101,2022-02-18,23.369050688611683
160101,2022-02-19,23.727236729397003
160101,2022-02-20,24.30025116087422
160101,2022-02-21,24.768987731531546
160101,2022-02-22,24.67863718467584
160101,2022-02-23,22.974031277984523
160101,2022-02-24,23.05779362654657
160101,2022-02-25,22.995379409488503
160101,2022-02-26,23.162097964079507
160101,2022-02-27,22.421062894677952
160101,2022-02-28,22.760847820940405
160101,2022-03-01,22.85924423278087
160101,2022-03-02,23.57095422154204
160101,2022-03-03,22.846887086408433
160101,2022-03-04,22.921716911707957
160101,2022-03-05,23.515965023719296
160101,2022-03-06,24.01181402998011
160101,2022-03-07,23.251750486672968
160101,2022-03-08,22.980198040184476
160101,2022-03-09,23.301175976176523
160101,2022-03-10,23.38091014515272
160101,2022-03-11,23.0820825830593
160101,2022-03-12,23.734383511951656
160101,2022-03-13,23.26076250038601
160101,2022-03-14,22.8321704567971
160101,2022-03-15,23.22823218947502
160101,2022-03-16,23.52694228502761
160101,2022-03-17,22.836589715728984
160101,2022-03-18,23.155049609761015
160101,2022-03-19,23.224004338883937
160101,2022-03-20,22.72227161191357
160101,2022-03-21,23.207744078705304
160101,2022-03-22,22.762102238148746
160101,2022-03-23,23.421074554885664
160101,2022-03-24,23.129409576938738
160101,2022-03-25,22.802957173424144
160101,2022-03-26,22.766275768254925
160101,2022-03-27,23.016071573893257
160101,2022-03-28,22.74725039033553
160101,2022-03-29,22.828870276248836
160101,2022-03-30,22.440108838791296
160101,2022-03-31,22.97823011878296
160101,2022-04-01,23.25509248313856
160101,2022-04-02,21.70508858702087
160101,2022-04-03,20.865765626125835
160101,2022-04-04,21.62732432972303
160101,2022-04-05,23.244159993007113
160101,2022-04-06,23.094126954411664
160101,2022-04-07,23.07105437870555
160101,2022-04-08,23.65479503526049
160101,2022-04-09,23.16730527211871
160101,2022-04-10,23.2818185034791
160101,2022-04-11,23.239932886256867
160101,2022-04-12,23.097504655237437
160101,2022-04-13,23.553179320484933
160101,2022-04-14,23.312360427313664
160101,2022-04-15,22.55914763801185
160101,2022-04-16,22.69845185813856
160101,2022-04-17,23.34392205641677
160101,2022-04-18,23.639667584365245
160101,2022-04-19,22.47373432466009
160101,2022-04-20,22.952335531563964
160101,2022-04-21,23.123371438892168
160101,2022-04-22,22.93027528302945
160101,2022-04-23,23.814696931901832
160101,2022-04-24,24.438500815732073
160101,2022-04-25,23.07381344520058
160101,2022-04-26,23.18622233072919
160101,2022-04-27,24.222922150985077
160101,2022-04-28,23.47557163163139
160101,2022-04-29,23.164159629530296
160101,2022-04-30,22.299856864919175
160101,2022-05-01,22.65256363337221
160101,2022-05-02,23.37185826559157
160101,2022-05-03,23.589285334610995
160101,2022-05-04,23.63384095846588
160101,2022-05-05,22.869099319719385
160101,2022-05-06,22.539670849223405
160101,2022-05-07,21.030999152745206
160101,2022-05-08,22.891225830399808
160101,2022-05-09,22.3959862308226
160101,2022-05-10,23.60026130927569
160101,2022-05-11,23.29363538015818
160101,2022-05-12,22.915784801136382
160101,2022-05-13,22.47289476960075
160101,2022-05-14,23.36380206725031
160101,2022-05-15,23.615683441765245
160101,2022-05-16,23.063563037012905
160101,2022-05-17,22.46629442860803
160101,2022-05-18,20.558080668694437
160101,2022-05-19,20.576360195396155
160101,2022-05-20,20.44242525967687
160101,2022-05-21,20.65351408102769
160101,2022-05-22,22.20108507480548
160101,2022-05-23,23.149142407805577
160101,2022-05-24,22.5442197576028
160101,2022-05-25,22.85995261050341
160101,2022-05-26,22.152783589118105
160101,2022-05-27,21.75183572681213
160101,2022-05-28,21.670201949168597
160101,2022-05-29,21.698640492154073
160101,2022-05-30,22.26716079812435
160101,2022-05-31,22.825081090713542
160101,2022-06-01,22.626667839924835
160101,2022-06-02,22.528526263934378
160101,2022-06-03,22.751345193935812
